sales_agent,product,account,deal_stage,engage_date,close_date,close_value
Moses Frase,GTX Plus Basic,Cancity,Won,10/20/2016,3/1/2017,1054
Darcel Schlecht,GTXPro,Isdom,Won,10/25/2016,3/11/2017,4514
Darcel Schlecht,MG Special,Cancity,Won,10/25/2016,3/7/2017,50
Moses Frase,GTX Basic,Codehow,Won,10/25/2016,3/9/2017,588
Zane Levy,GTX Basic,Hatfan,Won,10/25/2016,3/2/2017,517
Anna Snelling,MG Special,Ron-tech,Won,10/29/2016,3/1/2017,49
Vicki Laflamme,MG Special,J-Texon,Won,10/30/2016,3/2/2017,57
Markita Hansen,GTX Basic,Cheers,Won,11/1/2016,3/7/2017,601
Niesha Huffines,GTX Plus Basic,Zumgoity,Won,11/1/2016,3/3/2017,1026
Anna Snelling,MG Special,Bioholding,Won,11/4/2016,3/10/2017,53
Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,11/4/2016,3/18/2017,0
James Ascencio,GTX Plus Pro,Sunnamplex,Won,11/4/2016,3/10/2017,5169
Maureen Marcano,GTX Plus Pro,Sonron,Won,11/4/2016,3/6/2017,4631
Hayden Neloms,MG Advanced,Finjob,Won,11/5/2016,3/11/2017,3393
Rosalina Dieter,MG Special,Sonron,Lost,11/5/2016,3/3/2017,0
Rosalina Dieter,MG Advanced,Scotfind,Won,11/5/2016,3/6/2017,3284
Versie Hillebrand,MG Special,Treequote,Won,11/6/2016,3/5/2017,61
Daniell Hammack,GTXPro,Xx-zobam,Lost,11/7/2016,3/9/2017,0
Elease Gluck,MG Special,Rantouch,Won,11/7/2016,3/8/2017,46
James Ascencio,GTX Plus Pro,Fasehatice,Lost,11/7/2016,3/17/2017,0
Moses Frase,MG Special,Ron-tech,Won,11/7/2016,3/18/2017,50
Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,11/7/2016,3/11/2017,1014
Darcel Schlecht,GTX Basic,Warephase,Won,11/8/2016,3/26/2017,561
Kami Bicknell,GTX Basic,Zoomit,Won,11/10/2016,3/23/2017,590
Versie Hillebrand,MG Special,Bioholding,Won,11/10/2016,3/12/2017,61
Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,11/10/2016,3/11/2017,0
Elease Gluck,MG Special,Cheers,Won,11/11/2016,3/5/2017,58
Maureen Marcano,GTXPro,Labdrill,Won,11/11/2016,3/14/2017,4899
Rosie Papadopoulos,MG Advanced,Zotware,Lost,11/11/2016,3/1/2017,0
Versie Hillebrand,MG Special,dambase,Won,11/11/2016,3/3/2017,67
James Ascencio,GTXPro,Xx-holding,Won,11/12/2016,3/6/2017,4338
Kary Hendrixson,GTX Basic,Fasehatice,Won,11/12/2016,3/19/2017,578
Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/2016,3/1/2017,556
Rosalina Dieter,GTX Basic,Green-Plus,Won,11/12/2016,3/3/2017,635
Wilburn Farren,MG Advanced,The New York Inquirer,Won,11/12/2016,3/7/2017,3045
Garret Kinder,GTX Plus Basic,Mathtouch,Won,11/13/2016,3/14/2017,1233
Versie Hillebrand,MG Special,Zumgoity,Won,11/13/2016,3/9/2017,60
Anna Snelling,MG Special,Gogozoom,Lost,11/14/2016,3/30/2017,0
Darcel Schlecht,GTX Basic,Stanredtax,Lost,11/14/2016,3/8/2017,0
Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,11/14/2016,3/20/2017,1170
Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/15/2016,3/20/2017,1162
Darcel Schlecht,MG Advanced,Conecom,Won,11/16/2016,3/14/2017,3725
Kary Hendrixson,GTX Basic,Golddex,Won,11/16/2016,3/31/2017,559
Rosalina Dieter,GTX Basic,Plexzap,Lost,11/16/2016,3/11/2017,0
Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,11/17/2016,3/21/2017,0
